Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
428955,435472,2,2014-01-24,17:45:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver,Slight,Male,19
432096,435459,2,2014-01-24,15:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,57
430266,433735,2,2014-01-24,15:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,22
430266,433735,2,2014-01-24,15:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,24
436854,433739,2,2014-01-24,14:15:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,25
428116,426651,2,2014-01-24,19:55:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Female,24
433210,436160,2,2014-01-24,14:46:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,59
440776,428637,2,2014-01-25,17:00:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle,Driver,Slight,Male,24
429697,437811,1,2014-01-26,13:00:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Serious,Male,6
419941,434106,1,2014-01-26,17:55:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Serious,Male,32
428717,435610,2,2014-01-26,20:05:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,49
428717,435610,2,2014-01-26,20:05:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Passenger,Slight,Female,7
437893,436505,1,2014-01-26,18:45:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,21
428404,434383,≥4,2014-01-27,19:15:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,19
429388,435423,2,2014-01-27,15:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,46
429388,435423,2,2014-01-27,15:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,35
427389,435013,1,2014-01-27,08:13:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Bus,Passenger,Slight,Male,4
428404,434383,≥4,2014-01-27,19:15:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,33
432098,435594,2,2014-01-27,18:25:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,62
431243,432312,2,2014-01-28,06:55:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Serious,Male,36
428810,437790,2,2014-01-28,08:13:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,38
420505,440234,2,2014-01-28,16:50:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Male,47
